id,user_type/id,type,reconcile,nocreate,parent_id/id,code,name
megis-oe.a_root,account.data_account_type_view,View,False,False,,0,GOOIMEER  STANDAARD GROOTBOEKSCHEMA
megis-oe.a_0,account.data_account_type_view,View,False,False,megis-oe.a_root,RUBRIEK 0,"VASTE ACTIVA, EIGEN VERMOGEN, LANGLOPEND VREEMD VERMOGEN EN VOORZIENINGEN"
megis-oe.a_1,account.data_account_type_view,View,False,False,megis-oe.a_root,RUBRIEK 1,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN"
megis-oe.a_2,account.data_account_type_view,View,False,False,megis-oe.a_root,RUBRIEK 2,TUSSENREKENINGEN
megis-oe.a_3,account.data_account_type_view,View,False,False,megis-oe.a_root,RUBRIEK 3,ONDERHANDEN WERK
megis-oe.a_4,account.data_account_type_view,View,False,False,megis-oe.a_root,RUBRIEK 4,KOSTENREKENINGEN
megis-oe.a_5,account.data_account_type_view,View,False,False,megis-oe.a_root,RUBRIEK 5,INDIRECTE KOSTEN
megis-oe.a_6,account.data_account_type_view,View,False,False,megis-oe.a_root,RUBRIEK 6,FABRIKAGEREKENINGEN
megis-oe.a_7,account.data_account_type_view,View,False,False,megis-oe.a_root,RUBRIEK 7,KOSTEN VAN DE OMZET
megis-oe.a_8,account.data_account_type_view,View,False,False,megis-oe.a_root,RUBRIEK 8,VERKOOPRESULTATEN
megis-oe.a_9,account.data_account_type_view,View,False,False,megis-oe.a_root,RUBRIEK 9,OVERIGE RESULTATEN
megis-oe.a_00,account.data_account_type_view,View,False,False,megis-oe.a_0,00,IMMATERIELE ACTIVA
megis-oe.a_0010,account.data_account_type_asset,Regular,False,False,megis-oe.a_00,0010,Aanschafwaarde Goodwill
megis-oe.a_0011,account.data_account_type_asset,Regular,False,False,megis-oe.a_00,0011,Afschrijving Goodwill
megis-oe.a_01,account.data_account_type_view,View,False,False,megis-oe.a_0,01,ONROERENDE GOEDEREN
megis-oe.a_0100,account.data_account_type_asset,Regular,False,False,megis-oe.a_01,0100,Aanschafwaarde Verbouwingen
megis-oe.a_0101,account.data_account_type_asset,Regular,False,False,megis-oe.a_01,0101,Afschrijving Verbouwingen
megis-oe.a_02,account.data_account_type_view,View,False,False,megis-oe.a_0,02,COMPUTER HARD-/SOFTWARE & INVENTARIS
megis-oe.a_020,account.data_account_type_view,View,False,False,megis-oe.a_02,020,SOFTWARE
megis-oe.a_0200,account.data_account_type_asset,Regular,False,False,megis-oe.a_020,0200,Aanschafwaarde Software
megis-oe.a_0201,account.data_account_type_asset,Regular,False,False,megis-oe.a_020,0201,Afschrijving Software
megis-oe.a_023,account.data_account_type_view,View,False,False,megis-oe.a_02,023,HARDWARE
megis-oe.a_0230,account.data_account_type_asset,Regular,False,False,megis-oe.a_023,0230,Aanschafwaarde Hardware
megis-oe.a_0231,account.data_account_type_asset,Regular,False,False,megis-oe.a_023,0231,Afschrijving Hardware
megis-oe.a_026,account.data_account_type_view,View,False,False,megis-oe.a_02,026,INVENTARIS
megis-oe.a_0260,account.data_account_type_asset,Regular,False,False,megis-oe.a_026,0260,Aanschafwaarde Inventaris
